Date,Open,High,Low,Close,Adj Close,Volume
2017-03-01,61.094212,63.393242,59.643730,60.196381,60.196381,0
2017-04-01,60.132290,62.491001,59.294750,62.073246,62.073246,0
2017-05-01,61.130100,64.766838,61.130100,63.365799,63.365799,0
2017-06-01,63.849178,67.994499,62.559299,67.651047,67.651047,0
2017-07-01,67.294754,70.939003,66.966003,69.969200,69.969200,0
2017-08-01,70.767838,72.070000,68.847099,69.530609,69.530609,0
2017-09-01,69.120796,69.836403,67.648003,68.308121,68.308121,0
2017-10-01,68.027214,68.650002,66.638100,67.492599,67.492599,0
2017-11-01,67.881798,71.540398,67.261002,69.483200,69.483200,0
2017-12-01,69.565300,70.528297,67.888000,69.178398,69.178398,0
2018-01-01,69.209801,70.215401,67.459000,69.954803,69.954803,0
2018-02-01,69.776802,71.703598,68.181000,68.794502,68.794502,0
2018-03-01,68.710701,71.537201,68.468002,70.228104,70.228104,0
2018-04-01,70.228104,80.375999,69.947304,75.291100,75.291100,0
2018-05-01,76.043297,76.837997,71.544998,72.468102,72.468102,0
2018-06-01,72.863403,74.271004,71.776299,72.676003,72.676003,0
2018-07-01,73.406097,74.401001,72.214996,72.851997,72.851997,0
2018-08-01,72.977997,79.916000,72.767998,79.610001,79.610001,0
2018-09-01,79.556000,81.863998,75.957100,76.130997,76.130997,0
2018-10-01,76.130997,77.393997,73.750000,74.286003,74.286003,0
2018-11-01,74.394997,77.236000,73.662003,75.307999,75.307999,0
2018-12-01,75.302002,79.877998,74.814003,79.499702,79.499702,0
2019-01-01,79.927002,80.459000,74.056000,75.153999,75.153999,0
2019-02-01,74.873001,75.717003,73.337997,74.817001,74.817001,0
2019-03-01,74.877998,75.005997,71.698997,73.737000,73.737000,0
2019-04-01,73.737000,73.996696,71.124001,72.110001,72.110001,0
2019-05-01,72.482002,73.663002,71.233002,72.650002,72.650002,0
2019-06-01,72.647003,73.657997,70.961998,71.735001,71.735001,0
2019-07-01,71.939003,71.939003,69.775002,70.879997,70.879997,0
2019-08-01,70.316002,74.394997,70.099739,73.558998,73.558998,0
2019-09-01,73.545998,73.605003,71.723000,72.417000,72.417000,0
2019-10-01,71.300003,71.814003,69.790398,71.112900,71.112900,0
2019-11-01,71.540298,71.614502,70.195000,70.869202,70.869202,0
2019-12-01,70.872704,71.244400,67.710701,69.455299,69.455299,0
2020-01-01,69.446198,70.860802,67.015999,69.726402,69.726402,0
2020-02-01,70.967903,74.703003,68.495003,73.595200,73.595200,0
2020-03-01,73.595200,89.618401,72.872002,87.816803,87.816803,0
2020-04-01,86.566002,87.044296,78.986000,79.510300,79.510300,0
2020-05-01,81.354202,83.389000,77.413002,77.937302,77.937302,0
2020-06-01,78.098198,80.156097,76.457199,78.912300,78.912300,0
